year	city	city_code	pop_total	pop_myanmar	pop_china	pop_india	pop_indonesia	pop_korea	pop_philippine	pop_thai	pop_vietnam	pop_france	pop_germany	pop_italy	pop_uk	pop_canada	pop_us	pop_brazil	pop_australia	pop_etc
2012	渋谷区	13113	9834	42	2019	170	72	1715	314	205	67	497	157	130	779	201	1604	100	357	1405
2012	中野区	13114	11418	243	4559	130	51	3407	426	229	90	168	72	40	168	96	373	57	111	1198
2012	杉並区	13115	10773	181	3755	127	72	3045	488	208	98	164	71	67	241	139	605	78	115	1319
2012	豊島区	13116	19324	933	11737	134	87	3030	428	269	223	181	40	36	143	85	360	50	88	1500
2012	北区	13117	15451	677	8502	138	69	3039	881	161	108	66	20	24	89	34	187	112	40	1304
2012	荒川区	13118	15667	300	6806	81	21	6718	537	131	80	32	15	13	43	34	127	31	24	674
2012	板橋区	13119	17337	192	9690	51	75	3549	1363	263	122	91	37	34	136	71	255	124	43	1241
2012	練馬区	13120	13017	56	5178	156	86	4070	887	260	103	109	47	35	149	107	457	106	75	1136
2012	足立区	13121	23059	63	8562	104	112	8367	3353	425	175	39	17	9	85	48	226	182	33	1259
2012	葛飾区	13122	14163	92	6982	69	65	3768	1362	249	127	30	14	7	69	35	128	64	22	1080
2012	江戸川区	13123	24380	86	11783	2080	159	5132	2483	440	158	60	19	8	116	60	224	122	49	1401
2012	市部	13200	65745	258	24740	706	657	16268	6953	1341	884	296	237	146	675	450	2900	1208	337	7689
2012	八王子市	13201	9072	35	3739	100	59	2077	1081	142	92	28	31	21	53	32	245	185	38	1114
2012	立川市	13202	3504	7	1619	54	14	919	310	40	20	3	4	2	17	10	124	124	12	225
2012	武蔵野市	13203	2297	9	817	30	13	565	83	41	14	35	19	11	64	46	225	17	38	270
2012	三鷹市	13204	2976	21	942	11	18	785	176	69	50	35	19	16	89	66	316	21	38	304
2012	青梅市	13205	1592	1	435	15	17	257	370	62	36	1	8	-	8	7	54	65	1	255
2012	府中市	13206	4279	36	1585	41	73	932	452	104	74	18	13	23	41	33	254	75	29	496
2012	昭島市	13207	2130	4	854	20	25	620	207	23	22	2	4	2	10	2	42	55	4	234
2012	調布市	13208	3853	20	1371	81	61	1160	304	94	103	26	15	10	39	40	159	25	17	328
2012	町田市	13209	5076	19	2121	68	67	1155	487	128	60	21	25	12	63	44	207	38	23	538
2012	小金井市	13210	2238	15	1013	20	40	350	110	55	45	19	11	7	39	22	137	19	10	326
2012	小平市	13211	4002	14	1183	13	43	1745	258	61	86	21	20	4	40	16	103	74	15	306
2012	日野市	13212	2486	21	1156	22	33	548	227	35	29	5	9	2	23	8	71	15	7	275
2012	東村山市	13213	2349	10	883	14	47	675	276	31	19	4	4	1	17	5	47	9	10	297
2012	国分寺市	13214	1667	3	726	11	9	439	114	18	24	5	6	2	23	15	77	16	13	166
2012	国立市	13215	1411	2	504	20	10	413	75	33	19	5	15	4	14	12	60	6	7	212
2012	福生市	13218	2443	3	713	30	5	306	373	137	21	1	1	4	6	5	137	79	6	616
2012	狛江市	13219	933	1	323	10	6	233	94	39	10	12	5	7	18	9	50	3	8	105
2012	東大和市	13220	1038	3	325	5	8	337	234	28	6	4	-	1	7	3	26	14	9	28
2012	清瀬市	13221	1004	3	435	-	8	210	152	19	11	5	1	1	1	5	29	6	3	115
2012	東久留米市	13222	1653	3	520	20	14	335	256	30	12	1	7	2	25	33	207	18	20	150
2012	武蔵村山市	13223	1177	-	403	1	15	187	287	24	36	3	1	-	1	2	40	101	-	76
2012	多摩市	13224	2229	5	983	25	20	554	244	28	28	16	9	6	14	11	65	15	12	194
2012	稲城市	13225	1087	2	391	14	8	283	164	21	22	3	2	2	9	8	31	23	4	100
2012	羽村市	13227	1401	2	185	16	7	118	246	13	16	-	1	1	8	3	54	153	-	578
2012	あきる野市	13228	635	-	153	6	17	156	104	14	13	1	1	-	3	2	39	17	1	108
2012	西東京市	13229	3213	19	1361	59	20	909	269	52	16	22	6	5	43	11	101	35	12	273
2012	町村部		903	1	131	9	15	175	276	26	10	-	2	-	6	2	65	55	2	128
2012	西多摩郡	13300	667	1	113	9	1	85	206	17	10	-	2	-	5	-	48	53	-	117
2012	瑞穂町	13303	554	1	88	9	1	62	183	16	10	-	-	-	4	-	25	49	-	106
2012	日の出町	13305	79	-	19	-	-	16	16	-	-	-	-	-	-	-	15	3	-	10
2012	檜原村	13307	12	-	-	-	-	5	2	-	-	-	-	-	-	-	5	-	-	-
2012	奥多摩町	13308	22	-	6	-	-	2	5	1	-	-	2	-	1	-	3	1	-	1
2012	島部		236	-	18	-	14	90	70	9	-	-	-	-	1	2	17	2	2	11
2012	大島支庁	13361	58	-	9	-	13	14	3	6	-	-	-	-	-	1	2	1	1	8
2012	三宅支庁	13381	38	-	2	-	-	18	16	-	-	-	-	-	-	-	2	-	-	-
2012	八丈支庁	13401	119	-	5	-	-	54	50	3	-	-	-	-	-	1	5	-	1	-
2012	小笠原支庁	13421	21	-	2	-	1	4	1	-	-	-	-	-	1	-	8	1	-	3
2011	東京都全体	13000	422226	5257	164672	9585	2629	115025	30572	7296	3625	5561	2754	1324	6702	3339	18264	3833	3513	38275
2011	区部	13100	353219	5008	139332	8824	1980	97476	23184	5918	2790	5246	2466	1161	5961	2843	15181	2387	3139	30323
2011	千代田区	13101	2700	15	1002	104	10	444	47	37	74	241	49	15	73	37	222	14	36	280
2011	中央区	13102	5031	36	2010	327	24	1082	119	82	16	102	53	31	103	67	313	14	77	575
2011	港区	13103	21706	50	3231	911	122	3812	1027	207	54	886	472	245	1377	482	4595	364	800	3071
2011	新宿区	13104	35805	1236	12206	250	150	14406	821	668	192	1091	185	106	423	258	920	164	193	2536
2011	文京区	13105	7508	115	2911	121	58	2287	205	155	115	220	58	22	96	59	335	33	58	660
2011	台東区	13106	12863	80	5464	614	30	4352	703	235	53	112	33	25	84	59	180	30	45	764
2011	墨田区	13107	9802	73	4511	71	27	2295	1345	377	49	48	21	11	55	41	127	40	24	687
2011	江東区	13108	21479	156	10428	1148	108	5389	1461	362	102	115	37	23	120	110	364	87	107	1362
2011	品川区	13109	11604	199	4074	719	96	2593	744	162	199	149	114	42	241	128	607	82	114	1341
2011	目黒区	13110	7506	61	1489	196	189	1548	571	136	42	246	161	80	394	135	765	61	233	1199
2011	大田区	13111	18473	110	7322	331	161	4009	2164	428	486	91	251	39	170	96	538	264	95	1918
2011	世田谷区	13112	16298	82	4049	408	133	4389	849	233	147	390	458	137	645	350	1504	115	300	2109
2011	渋谷区	13113	10192	40	2075	166	64	1806	327	201	69	541	188	113	813	222	1649	107	378	1433
2011	中野区	13114	12636	258	4636	187	63	4187	467	227	74	173	76	42	216	120	405	68	118	1319
2011	杉並区	13115	11342	172	3781	111	80	3464	512	206	94	171	71	64	238	155	637	88	130	1368
2011	豊島区	13116	19868	940	11785	123	90	3543	428	262	205	205	55	30	160	112	377	50	95	1408
2011	北区	13117	16063	689	8696	162	61	3323	928	156	89	67	19	22	104	42	204	122	52	1327
2011	荒川区	13118	15869	263	6601	77	26	7132	554	146	92	41	13	15	42	35	124	30	25	653
2011	板橋区	13119	18355	181	9985	69	80	4113	1422	258	102	94	41	31	145	77	272	122	59	1304
2011	練馬区	13120	13912	43	5304	199	90	4630	923	253	98	123	58	39	184	119	456	113	83	1197
2011	足立区	13121	23443	56	8552	105	101	8698	3419	420	172	46	18	10	88	40	209	209	35	1265
2011	葛飾区	13122	14832	87	7079	89	65	4177	1451	254	126	34	16	10	71	36	134	71	30	1102
2011	江戸川区	13123	25932	66	12141	2336	152	5797	2697	453	140	60	19	9	119	63	244	139	52	1445
2011	市部	13200	68079	248	25200	751	638	17392	7104	1351	827	315	282	163	734	491	3012	1373	373	7825
2011	八王子市	13201	9162	31	3659	101	59	2206	1089	140	102	30	35	24	61	37	245	194	45	1104
2011	立川市	13202	3622	8	1668	48	15	982	312	29	29	4	8	-	20	18	122	139	9	211
2011	武蔵野市	13203	2330	11	845	39	19	579	80	50	7	32	22	13	53	49	229	20	40	242
2011	三鷹市	13204	3107	17	938	17	19	856	180	76	49	39	22	18	89	78	313	32	41	323
2011	青梅市	13205	1626	1	446	16	14	273	362	67	20	2	8	1	11	5	59	69	2	270
2011	府中市	13206	4475	30	1658	40	70	1033	466	111	64	22	15	19	54	28	262	77	32	494
2011	昭島市	13207	2187	5	863	13	27	641	219	26	24	1	4	3	9	1	48	67	3	233
2011	調布市	13208	4062	21	1464	86	61	1232	287	96	101	29	25	10	41	42	166	23	19	359
2011	町田市	13209	5303	22	2214	86	65	1233	479	113	72	24	29	10	66	51	200	42	36	561
2011	小金井市	13210	2380	11	1034	20	35	394	113	56	37	24	16	13	49	21	146	16	15	380
2011	小平市	13211	4275	13	1230	11	40	1937	266	54	82	14	24	4	33	19	94	96	18	340
2011	日野市	13212	2519	15	1179	37	31	548	233	34	11	6	6	3	23	6	76	11	8	292
2011	東村山市	13213	2341	13	870	17	37	688	284	31	21	6	4	2	16	6	48	8	9	281
2011	国分寺市	13214	1749	2	738	9	6	476	118	17	28	10	5	5	28	21	92	17	14	163
2011	国立市	13215	1477	3	544	21	14	407	80	35	17	5	21	9	14	13	64	7	6	217
2011	福生市	13218	2398	3	673	28	6	321	396	141	16	1	1	4	8	6	141	91	5	557
2011	狛江市	13219	960	1	330	5	4	252	96	40	17	11	6	4	20	5	53	4	7	105
2011	東大和市	13220	1045	3	285	8	8	333	267	30	2	-	-	1	11	4	29	19	11	34
2011	清瀬市	13221	1039	6	415	-	9	243	160	23	8	6	1	2	3	2	31	6	-	124
2011	東久留米市	13222	1777	3	538	25	10	347	248	40	7	5	10	2	27	34	243	24	23	191
2011	武蔵村山市	13223	1219	-	401	2	15	188	289	22	35	3	2	-	2	2	42	134	-	82
2011	多摩市	13224	2306	4	1058	24	23	578	245	24	21	13	6	10	18	12	66	16	14	174
2011	稲城市	13225	1108	2	412	14	10	274	165	20	21	3	2	1	13	7	30	23	4	107
2011	羽村市	13227	1573	2	232	20	6	126	306	14	9	-	2	1	10	3	66	178	1	597
2011	あきる野市	13228	667	-	163	5	17	175	96	11	13	1	-	-	4	2	46	20	2	112
2011	西東京市	13229	3372	21	1343	59	18	1070	268	51	14	24	8	4	51	19	101	40	9	272
2011	町村部		928	1	140	10	11	157	284	27	8	-	6	-	7	5	71	73	1	127
2011	西多摩郡	13300	697	1	119	10	1	75	215	17	7	-	3	-	5	-	57	70	-	117
2011	瑞穂町	13303	590	1	92	10	1	59	195	16	7	-	-	-	4	-	32	65	-	108
2011	日の出町	13305	74	-	21	-	-	12	13	-	-	-	1	-	-	-	15	4	-	8
2011	檜原村	13307	10	-	-	-	-	3	2	-	-	-	-	-	-	-	5	-	-	-
2011	奥多摩町	13308	23	-	6	-	-	1	5	1	-	-	2	-	1	-	5	1	-	1
2011	島部		231	-	21	-	10	82	69	10	1	-	3	-	2	5	14	3	1	10
2011	大島支庁	13361	58	-	12	-	9	9	3	7	1	-	2	-	-	4	2	2	-	7
2011	三宅支庁	13381	39	-	2	-	-	20	15	-	-	-	1	-	-	-	1	-	-	-
2011	八丈支庁	13401	114	-	5	-	-	48	50	3	-	-	-	-	1	1	4	-	1	1
2011	小笠原支庁	13421	20	-	2	-	1	5	1	-	-	-	-	-	1	-	7	1	-	2
2010	東京都全体	13000	418116	5128	157070	9644	2682	116158	31502	7202	3409	5587	2728	1285	6986	3499	18746	4269	3761	38460
2010	区部	13100	348857	4904	132353	8830	2029	98408	24003	5844	2576	5270	2421	1115	6204	3003	15588	2607	3351	30351
2010	千代田区	13101	2660	18	922	127	8	440	42	40	66	234	42	16	77	30	222	17	42	317
2010	中央区	13102	4909	31	1887	309	19	1056	120	83	13	115	55	25	112	80	306	23	88	587
2010	港区	13103	21826	49	3171	920	121	3718	1000	189	44	934	478	209	1458	539	4696	383	797	3120
2010	新宿区	13104	35211	1274	11314	230	234	14332	924	716	170	1128	153	98	437	268	905	173	220	2635
2010	文京区	13105	7276	123	2687	150	54	2272	199	153	104	237	60	26	96	58	343	28	71	615
2010	台東区	13106	12411	59	4947	587	27	4501	734	227	58	106	23	21	76	65	201	37	38	704
2010	墨田区	13107	9558	71	4229	77	21	2364	1360	378	39	47	17	10	55	29	111	45	28	677
2010	江東区	13108	20331	124	9666	912	124	5365	1494	349	80	106	37	23	124	114	337	100	104	1272
2010	品川区	13109	11872	211	3941	746	100	2629	832	164	214	151	121	47	278	139	640	99	144	1416
2010	目黒区	13110	7667	64	1435	206	201	1560	621	134	38	219	159	75	418	153	806	63	268	1247
2010	大田区	13111	18770	109	7274	363	156	4122	2250	405	457	94	267	35	198	109	616	309	103	1903
2010	世田谷区	13112	16026	85	3882	400	135	4344	881	219	127	370	452	138	631	354	1529	115	325	2039
2010	渋谷区	13113	10381	47	1986	175	56	1817	351	190	79	554	192	119	843	232	1739	117	402	1482
2010	中野区	13114	12185	255	4325	213	58	4168	448	235	65	165	66	45	196	114	395	73	117	1247
2010	杉並区	13115	11524	179	3766	122	72	3531	558	199	78	163	76	62	242	163	699	84	131	1399
2010	豊島区	13116	18575	879	10601	128	80	3573	423	249	167	204	35	32	171	111	380	51	90	1401
2010	北区	13117	16176	685	8666	179	68	3416	951	155	72	65	27	21	114	44	200	125	61	1327
2010	荒川区	13118	15508	221	6154	78	29	7281	559	153	75	35	15	17	45	30	129	35	24	628
2010	板橋区	13119	18471	178	9874	89	84	4236	1477	260	92	93	37	30	148	93	272	143	56	1309
2010	練馬区	13120	13999	34	5129	242	86	4674	983	244	98	115	56	41	186	131	487	129	94	1270
2010	足立区	13121	23291	56	8388	100	109	8738	3449	393	182	35	14	11	82	47	198	244	41	1204
