category	salary	ave_age	ave_year	working_time_stabdard	working_hour_extra	salary_standard	bonus	employees	age_label	age	annual_income	year	salary_index
C 鉱業，採石業，砂利採取業	281.9	47.6	15.7	184	22	247	773.5	1073	４５〜４９歳	50	415.63	1986	1.4886994519861025
C 鉱業，採石業，砂利採取業	284.1	52.4	18.9	181	22	248	821.6	1227	５０〜５４歳	55	423.08	1986	1.5153837888176511
C 鉱業，採石業，砂利採取業	242.4	57.1	16.4	184	15	222.3	631.2	539	５５〜５９歳	60	354	1986	1.2679537232708908
C 鉱業，採石業，砂利採取業	200.4	62.1	10.2	187	12	187.6	315.7	189	６０〜６４歳	65	272.05	1986	0.9744260181238583
C 鉱業，採石業，砂利採取業	188.6	22.9	3	184	15	168.9	367.6	264	２０〜２４歳	25	263.08	1987	1
C 鉱業，採石業，砂利採取業	224.9	27.5	4.8	187	22	195.2	444.8	419	２５〜２９歳	30	314.36	1987	1.1949216968222596
C 鉱業，採石業，砂利採取業	242.7	32.6	7.2	189	21	212.5	515.5	518	３０〜３４歳	35	342.79	1987	1.3029876843545691
C 鉱業，採石業，砂利採取業	258.9	37.7	9.7	190	21	227.8	557.2	820	３５〜３９歳	40	366.4	1987	1.3927322487456286
C 鉱業，採石業，砂利採取業	268.7	42.6	12	190	22	235.6	595.2	709	４０〜４４歳	45	381.96	1987	1.4518777558157214
C 鉱業，採石業，砂利採取業	285.9	47.6	16.3	188	20	252.6	704.9	945	４５〜４９歳	50	413.57	1987	1.5720313212710963
C 鉱業，採石業，砂利採取業	281.8	52.5	18.4	185	19	249.4	682.6	958	５０〜５４歳	55	406.42	1987	1.5448532765698648
C 鉱業，採石業，砂利採取業	245.8	57.3	16	190	16	224.7	578.7	435	５５〜５９歳	60	352.83	1987	1.3411509806902844
C 鉱業，採石業，砂利採取業	218.6	62.1	13.7	194	12	205	436.8	177	６０〜６４歳	65	306	1987	1.1631442907100502
C 鉱業，採石業，砂利採取業	190.9	22.8	2.9	178	16	170.3	413.7	280	２０〜２４歳	25	270.45	1988	1
C 鉱業，採石業，砂利採取業	223.5	27.5	5	181	21	195.2	543.8	459	２５〜２９歳	30	322.58	1988	1.1927528193751156
C 鉱業，採石業，砂利採取業	252.2	32.6	7.3	186	21	222.9	618.2	511	３０〜３４歳	35	364.46	1988	1.3476058421149935
C 鉱業，採石業，砂利採取業	269	37.7	9.5	188	21	239.7	650.2	710	３５〜３９歳	40	387.82	1988	1.4339804030319838
C 鉱業，採石業，砂利採取業	285.7	42.4	12.2	189	20	255.4	743.5	688	４０〜４４歳	45	417.19	1988	1.542577186171196
C 鉱業，採石業，砂利採取業	300	47.5	15.8	188	20	267.7	813.7	763	４５〜４９歳	50	441.37	1988	1.6319837308190055
C 鉱業，採石業，砂利採取業	301.8	52.4	18	185	19	270.6	829.7	842	５０〜５４歳	55	445.13	1988	1.645886485487151
C 鉱業，採石業，砂利採取業	266.3	57.3	18.7	186	14	246.7	742	451	５５〜５９歳	60	393.76	1988	1.4559437973747458
C 鉱業，採石業，砂利採取業	221.8	62	14.6	190	11	208.3	534	143	６０〜６４歳	65	319.56	1988	1.1815862451469774
C 鉱業，採石業，砂利採取業	187.8	22.8	3	178	16	168.7	406.3	265	２０〜２４歳	25	265.99	1989	1
C 鉱業，採石業，砂利採取業	226.4	27.6	5.1	181	21	198.6	577.9	439	２５〜２９歳	30	329.47	1989	1.238655588555961
C 鉱業，採石業，砂利採取業	251.2	32.5	7.2	186	20	223.3	627	526	３０〜３４歳	35	364.14	1989	1.3689988345426518
C 鉱業，採石業，砂利採取業	271.7	37.7	9.7	187	19	243.7	727.7	698	３５〜３９歳	40	398.81	1989	1.4993420805293431
C 鉱業，採石業，砂利採取業	286.3	42.3	12.2	188	19	258	785.1	712	４０〜４４歳	45	422.07	1989	1.5867889770292116
C 鉱業，採石業，砂利採取業	307.5	47.6	15.5	186	19	275.1	880.1	794	４５〜４９歳	50	457.01	1989	1.7181472987706303
C 鉱業，採石業，砂利採取業	310.2	52.5	18.4	184	18	279.1	907.3	889	５０〜５４歳	55	462.97	1989	1.7405541561712847
C 鉱業，採石業，砂利採取業	267.2	57.3	17.5	186	13	248.1	811.6	520	５５〜５９歳	60	401.8	1989	1.5105831046279936
C 鉱業，採石業，砂利採取業	218	62.1	14.2	189	12	203.1	498.3	177	６０〜６４歳	65	311.43	1989	1.1708334899808264
C 鉱業，採石業，砂利採取業	204.1	22.8	2.7	179	17	180.3	445	218	２０〜２４歳	25	289.42	1990	1
C 鉱業，採石業，砂利採取業	251	27.5	5.1	182	21	217.7	649.2	390	２５〜２９歳	30	366.12	1990	1.2650127841890677
C 鉱業，採石業，砂利採取業	284.2	32.5	7.9	185	23	245.6	753.3	441	３０〜３４歳	35	416.37	1990	1.4386358924746043
C 鉱業，採石業，砂利採取業	292.9	37.8	10.1	188	21	258.7	835.4	573	３５〜３９歳	40	435.02	1990	1.5030751157487388
C 鉱業，採石業，砂利採取業	311.1	42.3	12.5	190	21	275.8	895.8	699	４０〜４４歳	45	462.9	1990	1.5994057079676594
C 鉱業，採石業，砂利採取業	325.2	47.6	15.7	188	18	293.5	1008.4	701	４５〜４９歳	50	491.08	1990	1.6967728560569413
C 鉱業，採石業，砂利採取業	328.5	52.5	18.8	186	18	297.2	1049.6	773	５０〜５４歳	55	499.16	1990	1.7246907608320088
C 鉱業，採石業，砂利採取業	282.6	57.3	16.4	188	16	258.9	806.2	462	５５〜５９歳	60	419.74	1990	1.4502798700849975
C 鉱業，採石業，砂利採取業	236.3	62.2	13.6	189	15	217.5	548.3	166	６０〜６４歳	65	338.39	1990	1.1692004699053278
C 鉱業，採石業，砂利採取業	201.8	22.8	2.6	173	17	178.6	467.2	222	２０〜２４歳	25	288.88	1991	1
C 鉱業，採石業，砂利採取業	257.8	27.6	5.1	175	20	222.8	700.9	344	２５〜２９歳	30	379.45	1991	1.313521185267239
C 鉱業，採石業，砂利採取業	285.5	32.5	8	176	20	250.9	849.5	402	３０〜３４歳	35	427.55	1991	1.4800263085018002
C 鉱業，採石業，砂利採取業	301.8	37.6	10	181	21	266.5	925.4	509	３５〜３９歳	40	454.7	1991	1.5740099695375243
C 鉱業，採石業，砂利採取業	317.6	42.5	12.2	181	20	283	1007.8	724	４０〜４４歳	45	481.9	1991	1.6681667128219329
C 鉱業，採石業，砂利採取業	327.4	47.7	15.5	181	19	292	1065.9	622	４５〜４９歳	50	499.47	1991	1.7289878150096927
C 鉱業，採石業，砂利採取業	346.7	52.5	19.9	178	18	311.6	1210.2	780	５０〜５４歳	55	537.06	1991	1.859111049570756
C 鉱業，採石業，砂利採取業	301.4	57.3	17.8	180	16	275.7	954	449	５５〜５９歳	60	457.08	1991	1.58224868457491
C 鉱業，採石業，砂利採取業	246.5	62.1	14.4	182	15	225.5	549.6	184	６０〜６４歳	65	350.76	1991	1.2142065909720299
C 鉱業，採石業，砂利採取業	211.3	22.9	2.5	176	15	188.6	469.9	215	２０〜２４歳	25	300.55	1992	1
C 鉱業，採石業，砂利採取業	266.2	27.7	5.2	176	19	233.1	732.7	307	２５〜２９歳	30	392.71	1992	1.3066378306438196
C 鉱業，採石業，砂利採取業	297.2	32.6	8.1	177	20	261.6	882	362	３０〜３４歳	35	444.84	1992	1.4800865080685408
C 鉱業，採石業，砂利採取業	308.8	37.6	9.9	180	17	277.9	972	461	３５〜３９歳	40	467.76	1992	1.556346697720845
C 鉱業，採石業，砂利採取業	329.7	42.6	12.2	180	19	296	1041.4	697	４０〜４４歳	45	499.78	1992	1.6628847113625018
C 鉱業，採石業，砂利採取業	337.5	47.5	15.1	182	19	302.5	1063.9	640	４５〜４９歳	50	511.39	1992	1.7015138911994676
C 鉱業，採石業，砂利採取業	357.6	52.5	19.1	179	18	321.6	1208.2	754	５０〜５４歳	55	549.94	1992	1.8297787389785394
C 鉱業，採石業，砂利採取業	326	57.4	18.3	180	15	299.7	1049	532	５５〜５９歳	60	496.1	1992	1.650640492430544
C 鉱業，採石業，砂利採取業	274.2	62	15.8	186	17	248.7	655.6	205	６０〜６４歳	65	394.6	1992	1.3129263017800699
C 鉱業，採石業，砂利採取業	211.6	22.7	2.3	168	15	190.1	481.5	239	２０〜２４歳	25	302.07	1993	1
C 鉱業，採石業，砂利採取業	261	27.6	5.3	169	18	228.4	810.2	297	２５〜２９歳	30	394.22	1993	1.3050617406561393
C 鉱業，採石業，砂利採取業	304.7	32.6	8.1	173	20	267.1	946.4	371	３０〜３４歳	35	460.28	1993	1.523752772536167
C 鉱業，採石業，砂利採取業	319.4	37.6	10	175	17	286.7	1062.7	417	３５〜３９歳	40	489.55	1993	1.6206508425199457
C 鉱業，採石業，砂利採取業	328.1	42.6	11.7	178	16	297.4	1058.6	660	４０〜４４歳	45	499.58	1993	1.6538550667063925
C 鉱業，採石業，砂利採取業	347.4	47.4	14.7	177	18	314	1188	618	４５〜４９歳	50	535.68	1993	1.7733637898500347
C 鉱業，採石業，砂利採取業	368.3	52.5	19.8	175	16	334.7	1381.9	663	５０〜５４歳	55	580.15	1993	1.9205813222100838
C 鉱業，採石業，砂利採取業	334.1	57.2	19.3	176	15	308.4	1214.7	504	５５〜５９歳	60	522.39	1993	1.7293673651802561
C 鉱業，採石業，砂利採取業	275.2	62.3	15.9	180	14	253.2	772.1	198	６０〜６４歳	65	407.45	1993	1.3488595358691693
C 鉱業，採石業，砂利採取業	213.4	22.7	2.1	172	11	196.1	452.6	234	２０〜２４歳	25	301.34	1994	1
C 鉱業，採石業，砂利採取業	269.8	27.5	4.5	173	18	238.8	742.4	260	２５〜２９歳	30	398	1994	1.3207672396628394
C 鉱業，採石業，砂利採取業	314.8	32.5	7.9	175	19	276.8	940.5	312	３０〜３４歳	35	471.81	1994	1.5657065109179003
C 鉱業，採石業，砂利採取業	327.1	37.5	9.3	179	18	291.1	1019.5	373	３５〜３９歳	40	494.47	1994	1.6409039623017192
C 鉱業，採石業，砂利採取業	346.3	42.6	11.8	179	17	313.8	1106.7	498	４０〜４４歳	45	526.23	1994	1.7462998606225528
C 鉱業，採石業，砂利採取業	356.4	47.2	13.3	180	17	323	1150.4	590	４５〜４９歳	50	542.72	1994	1.8010221012809453
C 鉱業，採石業，砂利採取業	366.2	52.5	17.2	180	18	330.5	1156.3	606	５０〜５４歳	55	555.07	1994	1.8420057078383225
C 鉱業，採石業，砂利採取業	344.3	57.5	18.2	178	13	318.5	1151.5	416	５５〜５９歳	60	528.31	1994	1.7532023627795845
C 鉱業，採石業，砂利採取業	285.1	62.2	14.9	182	16	259.6	620.6	193	６０〜６４歳	65	404.18	1994	1.3412756354947901
C 鉱業，採石業，砂利採取業	218	22.8	2.6	174	16	195.2	534.7	250	２０〜２４歳	25	315.07	1995	1
C 鉱業，採石業，砂利採取業	267.3	27.5	4.6	174	17	236.8	777	334	２５〜２９歳	30	398.46	1995	1.2646713428761862
C 鉱業，採石業，砂利採取業	309.4	32.5	7.6	175	19	272.8	922.2	341	３０〜３４歳	35	463.5	1995	1.4711016599485829
C 鉱業，採石業，砂利採取業	332.4	37.6	9.7	177	17	299.6	1055.3	441	３５〜３９歳	40	504.41	1995	1.6009458215634622
C 鉱業，採石業，砂利採取業	355	42.6	12.7	177	18	317.9	1195.3	550	４０〜４４歳	45	545.53	1995	1.7314565017297743
C 鉱業，採石業，砂利採取業	355.1	47.4	14.5	179	17	320.6	1130.4	676	４５〜４９歳	50	539.16	1995	1.711238772336306
C 鉱業，採石業，砂利採取業	368.3	52.6	17.5	178	16	332.8	1235.4	636	５０〜５４歳	55	565.5	1995	1.7948392420731902
C 鉱業，採石業，砂利採取業	351.7	57.5	19.6	176	13	324.6	1149.6	547	５５〜５９歳	60	537	1995	1.704383152950138
C 鉱業，採石業，砂利採取業	300.3	62.2	16.5	180	17	271.2	689.6	222	６０〜６４歳	65	429.32	1995	1.3626178309581998
C 鉱業，採石業，砂利採取業	222.6	22.9	2.6	171	14	201.9	500	201	２０〜２４歳	25	317.12	1996	1
C 鉱業，採石業，砂利採取業	274.3	27.5	4.4	170	17	245.3	743.4	288	２５〜２９歳	30	403.5	1996	1.2723890010090817
C 鉱業，採石業，砂利採取業	319.1	32.7	7.8	175	20	281.8	878.1	303	３０〜３４歳	35	470.73	1996	1.484390766902119
C 鉱業，採石業，砂利採取業	323.2	37.5	9.5	174	17	291	1007.6	345	３５〜３９歳	40	488.6	1996	1.5407416750756813
C 鉱業，採石業，砂利採取業	342.3	42.7	12	175	17	309.2	1077.9	449	４０〜４４歳	45	518.55	1996	1.63518541876892
C 鉱業，採石業，砂利採取業	355.6	47.5	14.2	177	18	318.8	1087.2	637	４５〜４９歳	50	535.44	1996	1.6884460141271445
C 鉱業，採石業，砂利採取業	361.2	52.7	17.8	177	16	326.1	1127	535	５０〜５４歳	55	546.14	1996	1.7221871846619576
C 鉱業，採石業，砂利採取業	350.1	57.4	19.5	174	13	323.4	1127.9	482	５５〜５９歳	60	532.91	1996	1.6804679616548939
C 鉱業，採石業，砂利採取業	286.5	62.3	18.6	180	12	267	743.2	201	６０〜６４歳	65	418.12	1996	1.3184914228052471
C 鉱業，採石業，砂利採取業	227.8	23	2.7	168	14	206.3	499.3	193	２０〜２４歳	25	323.29	1997	1
C 鉱業，採石業，砂利採取業	265.7	27.6	4.4	166	18	233.9	726.1	345	２５〜２９歳	30	391.45	1997	1.2108323795972655
C 鉱業，採石業，砂利採取業	307	32.6	7.4	167	20	266.8	856.3	340	３０〜３４歳	35	454.03	1997	1.4044047140338394
C 鉱業，採石業，砂利採取業	333.9	37.5	9.9	169	18	298.3	1061.3	383	３５〜３９歳	40	506.81	1997	1.5676637075071915
C 鉱業，採石業，砂利採取業	341.3	42.6	11.5	169	17	306.9	1053.5	457	４０〜４４歳	45	514.91	1997	1.5927186117727117
C 鉱業，採石業，砂利採取業	358.5	47.6	14.2	171	17	322.5	1093.1	697	４５〜４９歳	50	539.51	1997	1.6688112839865135
C 鉱業，採石業，砂利採取業	364.5	52.6	15.7	170	17	330	1133	531	５０〜５４歳	55	550.7	1997	1.7034241702496211
C 鉱業，採石業，砂利採取業	357	57.4	19.1	171	13	329.1	1100.4	513	５５〜５９歳	60	538.44	1997	1.665501562065019
C 鉱業，採石業，砂利採取業	299.2	62.4	17.2	173	14	274.7	750.6	230	６０〜６４歳	65	434.1	1997	1.3427572767484302
C 鉱業，採石業，砂利採取業	222	23	2.8	169	14	199.3	501.3	159	２０〜２４歳	25	316.53	1998	1
C 鉱業，採石業，砂利採取業	272.7	27.6	4.7	169	17	242	724.7	276	２５〜２９歳	30	399.71	1998	1.262787097589486
C 鉱業，採石業，砂利採取業	321.6	32.6	7.6	172	19	280.9	800.9	286	３０〜３４歳	35	466.01	1998	1.4722459166587687
C 鉱業，採石業，砂利採取業	343.7	37.6	10.1	172	17	306.9	936.9	349	３５〜３９歳	40	506.13	1998	1.598995355890437
C 鉱業，採石業，砂利採取業	348.8	42.6	12.3	172	15	316	986.6	386	４０〜４４歳	45	517.22	1998	1.6340315293968979
C 鉱業，採石業，砂利採取業	357.9	47.7	14	172	14	327.6	983.3	519	４５〜４９歳	50	527.81	1998	1.6674880738002718
C 鉱業，採石業，砂利採取業	360.9	52.4	16.5	173	14	330.6	1013.1	467	５０〜５４歳	55	534.39	1998	1.6882759927968913
C 鉱業，採石業，砂利採取業	352.9	57.4	18.9	172	12	327.3	1037.8	421	５５〜５９歳	60	527.26	1998	1.6657504817868765
C 鉱業，採石業，砂利採取業	290.9	62.2	16.3	176	10	272.4	641.3	163	６０〜６４歳	65	413.21	1998	1.3054370833728242
C 鉱業，採石業，砂利採取業	214.8	23	2.8	165	11	195	482	140	２０〜２４歳	25	305.96	1999	1
C 鉱業，採石業，砂利採取業	263.9	27.6	4.8	167	16	236.2	699.4	264	２５〜２９歳	30	386.62	1999	1.2636292325794223
C 鉱業，採石業，砂利採取業	304.4	32.6	7.3	168	16	272.1	839.8	282	３０〜３４歳	35	449.26	1999	1.4683618773695908
C 鉱業，採石業，砂利採取業	342.5	37.5	10.2	170	16	310.1	1012.9	337	３５〜３９歳	40	512.29	1999	1.6743691985880507
C 鉱業，採石業，砂利採取業	346.7	42.6	12.5	169	14	316	1083.5	368	４０〜４４歳	45	524.39	1999	1.7139168518760624
C 鉱業，採石業，砂利採取業	357.1	47.7	14.8	170	15	328.3	1082.7	499	４５〜４９歳	50	536.79	1999	1.7544450254935287
C 鉱業，採石業，砂利採取業	363.8	52.2	16.6	171	14	334.8	1077.8	490	５０〜５４歳	55	544.34	1999	1.7791214537848088
C 鉱業，採石業，砂利採取業	357.6	57.5	18.1	171	13	330.4	1006.1	423	５５〜５９歳	60	529.73	1999	1.7313701137403583
C 鉱業，採石業，砂利採取業	297.3	62.2	16.5	174	11	276.6	673.5	159	６０〜６４歳	65	424.11	1999	1.3861615897502944
C 鉱業，採石業，砂利採取業	215.1	23	2.9	164	13	194.2	512.7	96	２０〜２４歳	25	309.39	2000	1
C 鉱業，採石業，砂利採取業	267.6	27.5	4.6	168	15	242.4	703.1	270	２５〜２９歳	30	391.43	2000	1.265166941400821
C 鉱業，採石業，砂利採取業	295.6	32.5	7	169	15	267.1	776.9	253	３０〜３４歳	35	432.41	2000	1.3976211254403827
C 鉱業，採石業，砂利採取業	342.1	37.5	11.1	169	15	308.1	1070.5	308	３５〜３９歳	40	517.57	2000	1.6728724263874077
C 鉱業，採石業，砂利採取業	349.4	42.5	12.1	171	15	318.6	1028.2	342	４０〜４４歳	45	522.1	2000	1.6875141407285306
C 鉱業，採石業，砂利採取業	352.8	47.7	14.4	172	14	323.8	1005.4	473	４５〜４９歳	50	523.9	2000	1.693332040466725
C 鉱業，採石業，砂利採取業	356.8	52.3	17	172	13	328	966.7	509	５０〜５４歳	55	524.83	2000	1.6963379553314588
C 鉱業，採石業，砂利採取業	350.7	57.5	18.1	171	14	324.2	899.8	385	５５〜５９歳	60	510.82	2000	1.651055302369178
C 鉱業，採石業，砂利採取業	288.3	62.1	19.4	174	10	271	563.9	171	６０〜６４歳	65	402.35	2000	1.3004621998125345
C 鉱業，採石業，砂利採取業	210.6	22.9	2.7	167	12	192	426.8	90	２０〜２４歳	25	295.4	2001	1
C 鉱業，採石業，砂利採取業	266.1	27.7	4.8	169	18	235.4	674.8	236	２５〜２９歳	30	386.8	2001	1.309410968178741
C 鉱業，採石業，砂利採取業	309.4	32.6	7.5	169	22	271	804.2	297	３０〜３４歳	35	451.7	2001	1.529113067027759
C 鉱業，採石業，砂利採取業	339.3	37.6	10.2	168	17	304.1	956.2	283	３５〜３９歳	40	502.78	2001	1.702031144211239
C 鉱業，採石業，砂利採取業	343.8	42.5	12	170	14	315.6	1056.3	346	４０〜４４歳	45	518.19	2001	1.754197698036561
C 鉱業，採石業，砂利採取業	337	47.5	13.5	173	14	309.6	915.1	402	４５〜４９歳	50	495.91	2001	1.6787745429925527
C 鉱業，採石業，砂利採取業	352.9	52.5	16	172	16	322.2	916.6	547	５０〜５４歳	55	515.14	2001	1.7438727149627624
C 鉱業，採石業，砂利採取業	342.8	57.5	17.3	174	14	316.1	823.6	374	５５〜５９歳	60	493.72	2001	1.6713608666215303
C 鉱業，採石業，砂利採取業	290.1	62.2	16.9	174	12	271.7	536.8	152	６０〜６４歳	65	401.8	2001	1.3601895734597158
C 鉱業，採石業，砂利採取業	211.7	23	2.9	164	12	192.1	455.3	105	２０〜２４歳	25	299.57	2002	1
C 鉱業，採石業，砂利採取業	258	27.6	5.3	162	16	229.1	677.9	212	２５〜２９歳	30	377.39	2002	1.259772340354508
C 鉱業，採石業，砂利採取業	294.9	32.5	7.7	165	15	265.6	806.9	262	３０〜３４歳	35	434.57	2002	1.4506459258270188
C 鉱業，採石業，砂利採取業	338.2	37.5	10.4	165	18	298.9	968.9	275	３５〜３９歳	40	502.73	2002	1.6781720466001269
C 鉱業，採石業，砂利採取業	341.7	42.5	11.7	168	12	316.6	1060.9	294	４０〜４４歳	45	516.13	2002	1.72290282738592
C 鉱業，採石業，砂利採取業	353.1	47.4	14.7	168	14	323.5	1027.7	349	４５〜４９歳	50	526.49	2002	1.7574857295456823
C 鉱業，採石業，砂利採取業	353.2	52.6	16.2	167	13	328.8	984.8	479	５０〜５４歳	55	522.32	2002	1.7435657776145812
C 鉱業，採石業，砂利採取業	342.5	57.4	17.4	168	15	313.4	824.8	354	５５〜５９歳	60	493.48	2002	1.6472944553860533
C 鉱業，採石業，砂利採取業	294.8	62.2	17.7	171	11	275	596.3	178	６０〜６４歳	65	413.39	2002	1.379944587241713
C 鉱業，採石業，砂利採取業	210.6	23.2	3.1	167	11	193.4	398.8	77	２０〜２４歳	25	292.6	2003	1
