qualification,country,people,year
芸術,タイ,2,2014
芸術,ネパール,1,2014
芸術,パキスタン,0,2014
芸術,バングラデシュ,2,2014
芸術,フィリピン,0,2014
芸術,ブラジル,10,2014
芸術,フランス,19,2014
芸術,ベトナム,1,2014
芸術,ペルー,0,2014
芸術,マレーシア,1,2014
芸術,ロシア,18,2014
芸術,英国,9,2014
芸術,韓国,40,2014
芸術,中国,71,2014
芸術,米国,73,2014
研究,インド,150,2014
研究,インドネシア,33,2014
研究,オーストラリア,16,2014
研究,カナダ,30,2014
研究,スリランカ,9,2014
研究,タイ,30,2014
研究,ネパール,15,2014
研究,パキスタン,10,2014
研究,バングラデシュ,49,2014
研究,フィリピン,27,2014
研究,ブラジル,11,2014
研究,フランス,101,2014
研究,ベトナム,46,2014
研究,ペルー,2,2014
研究,マレーシア,22,2014
研究,ロシア,22,2014
研究,英国,38,2014
研究,韓国,180,2014
研究,中国,555,2014
研究,米国,77,2014
研修・技能実習,インド,120,2014
研修・技能実習,インドネシア,12342,2014
研修・技能実習,オーストラリア,4,2014
研修・技能実習,カナダ,2,2014
研修・技能実習,スリランカ,190,2014
研修・技能実習,タイ,5155,2014
研修・技能実習,ネパール,311,2014
研修・技能実習,パキスタン,6,2014
研修・技能実習,バングラデシュ,81,2014
研修・技能実習,フィリピン,12844,2014
研修・技能実習,ブラジル,37,2014
研修・技能実習,フランス,0,2014
研修・技能実習,ベトナム,34256,2014
研修・技能実習,ペルー,40,2014
研修・技能実習,マレーシア,89,2014
研修・技能実習,ロシア,29,2014
研修・技能実習,英国,3,2014
研修・技能実習,韓国,34,2014
研修・技能実習,中国,100346,2014
研修・技能実習,米国,15,2014
宗教,インド,66,2014
宗教,インドネシア,53,2014
宗教,オーストラリア,94,2014
宗教,カナダ,117,2014
宗教,スリランカ,33,2014
宗教,タイ,107,2014
宗教,ネパール,2,2014
宗教,パキスタン,15,2014
宗教,バングラデシュ,6,2014
宗教,フィリピン,225,2014
宗教,ブラジル,112,2014
宗教,フランス,29,2014
宗教,ベトナム,190,2014
宗教,ペルー,9,2014
宗教,マレーシア,5,2014
宗教,ロシア,3,2014
宗教,英国,69,2014
宗教,韓国,866,2014
宗教,中国,64,2014
宗教,米国,1847,2014
人文知識・国際業務,インド,855,2014
人文知識・国際業務,インドネシア,440,2014
人文知識・国際業務,オーストラリア,1254,2014
人文知識・国際業務,カナダ,1408,2014
人文知識・国際業務,スリランカ,1250,2014
人文知識・国際業務,タイ,653,2014
人文知識・国際業務,ネパール,1010,2014
人文知識・国際業務,パキスタン,1348,2014
人文知識・国際業務,バングラデシュ,592,2014
人文知識・国際業務,フィリピン,1290,2014
人文知識・国際業務,ブラジル,97,2014
人文知識・国際業務,フランス,1122,2014
人文知識・国際業務,ベトナム,1482,2014
人文知識・国際業務,ペルー,18,2014
人文知識・国際業務,マレーシア,415,2014
人文知識・国際業務,ロシア,645,2014
人文知識・国際業務,英国,2578,2014
人文知識・国際業務,韓国,10345,2014
人文知識・国際業務,中国,34574,2014
人文知識・国際業務,米国,6582,2014
投資・経営,インド,300,2014
投資・経営,インドネシア,20,2014
投資・経営,オーストラリア,195,2014
投資・経営,カナダ,109,2014
投資・経営,スリランカ,391,2014
投資・経営,タイ,115,2014
投資・経営,ネパール,682,2014
投資・経営,パキスタン,808,2014
投資・経営,バングラデシュ,206,2014
投資・経営,フィリピン,52,2014
投資・経営,ブラジル,11,2014
投資・経営,フランス,222,2014
投資・経営,ベトナム,44,2014
投資・経営,ペルー,3,2014
投資・経営,マレーシア,53,2014
投資・経営,ロシア,159,2014
投資・経営,英国,223,2014
投資・経営,韓国,2911,2014
投資・経営,中国,6394,2014
投資・経営,米国,648,2014
特定活動,インド,700,2014
特定活動,インドネシア,912,2014
特定活動,オーストラリア,939,2014
特定活動,カナダ,361,2014
特定活動,スリランカ,678,2014
特定活動,タイ,120,2014
特定活動,ネパール,1947,2014
特定活動,パキスタン,549,2014
特定活動,バングラデシュ,470,2014
特定活動,フィリピン,1956,2014
特定活動,ブラジル,48,2014
特定活動,フランス,809,2014
特定活動,ベトナム,432,2014
特定活動,ペルー,45,2014
特定活動,マレーシア,53,2014
特定活動,ロシア,117,2014
特定活動,英国,751,2014
特定活動,韓国,3256,2014
特定活動,中国,6624,2014
特定活動,米国,386,2014
文化活動,インド,31,2014
文化活動,インドネシア,43,2014
文化活動,オーストラリア,20,2014
文化活動,カナダ,26,2014
文化活動,スリランカ,15,2014
文化活動,タイ,76,2014
文化活動,ネパール,17,2014
文化活動,パキスタン,6,2014
文化活動,バングラデシュ,31,2014
文化活動,フィリピン,23,2014
文化活動,ブラジル,36,2014
文化活動,フランス,124,2014
文化活動,ベトナム,43,2014
文化活動,ペルー,10,2014
文化活動,マレーシア,45,2014
文化活動,ロシア,24,2014
文化活動,英国,31,2014
文化活動,韓国,254,2014
文化活動,中国,777,2014
文化活動,米国,178,2014
報道,インド,1,2014
報道,インドネシア,0,2014
報道,オーストラリア,7,2014
報道,カナダ,9,2014
報道,スリランカ,0,2014
報道,タイ,0,2014
報道,ネパール,0,2014
報道,パキスタン,0,2014
報道,バングラデシュ,0,2014
報道,フィリピン,0,2014
報道,ブラジル,3,2014
報道,フランス,15,2014
報道,ベトナム,8,2014
報道,ペルー,0,2014
報道,マレーシア,0,2014
報道,ロシア,10,2014
報道,英国,11,2014
報道,韓国,46,2014
報道,中国,45,2014
報道,米国,20,2014
法律・会計業務,インド,2,2014
法律・会計業務,インドネシア,0,2014
法律・会計業務,オーストラリア,13,2014
法律・会計業務,カナダ,8,2014
法律・会計業務,スリランカ,0,2014
法律・会計業務,タイ,0,2014
法律・会計業務,ネパール,0,2014
法律・会計業務,パキスタン,0,2014
法律・会計業務,バングラデシュ,0,2014
法律・会計業務,フィリピン,1,2014
法律・会計業務,ブラジル,0,2014
法律・会計業務,フランス,5,2014
法律・会計業務,ベトナム,0,2014
法律・会計業務,ペルー,0,2014
法律・会計業務,マレーシア,0,2014
法律・会計業務,ロシア,0,2014
法律・会計業務,英国,26,2014
法律・会計業務,韓国,8,2014
法律・会計業務,中国,5,2014
法律・会計業務,米国,64,2014
留学,インド,865,2014
留学,インドネシア,3797,2014
留学,オーストラリア,463,2014
留学,カナダ,364,2014
留学,スリランカ,1981,2014
留学,タイ,3818,2014
留学,ネパール,15697,2014
留学,パキスタン,267,2014
留学,バングラデシュ,1309,2014
留学,フィリピン,1013,2014
留学,ブラジル,585,2014
留学,フランス,1120,2014
留学,ベトナム,32804,2014
留学,ペルー,101,2014
留学,マレーシア,2607,2014
留学,ロシア,705,2014
留学,英国,542,2014
留学,韓国,15765,2014
留学,中国,105557,2014
留学,米国,2570,2014
医療,インド,0,2013
医療,インドネシア,17,2013
医療,オーストラリア,1,2013
医療,カナダ,2,2013
医療,スリランカ,1,2013
医療,タイ,4,2013
医療,ネパール,4,2013
医療,パキスタン,0,2013
医療,バングラデシュ,0,2013
医療,フィリピン,2,2013
医療,ブラジル,0,2013
医療,フランス,0,2013
医療,ベトナム,21,2013
医療,ペルー,1,2013
医療,マレーシア,7,2013
医療,ロシア,1,2013
医療,英国,0,2013
医療,韓国,55,2013
医療,中国,395,2013
医療,米国,5,2013
技術,インド,3592,2013
技術,インドネシア,595,2013
技術,オーストラリア,232,2013
技術,カナダ,224,2013
技術,スリランカ,423,2013
技術,タイ,401,2013
技術,ネパール,410,2013
技術,パキスタン,65,2013
技術,バングラデシュ,536,2013
技術,フィリピン,1937,2013
技術,ブラジル,64,2013
技術,フランス,621,2013
技術,ベトナム,3506,2013
技術,ペルー,11,2013
技術,マレーシア,673,2013
技術,ロシア,77,2013
技術,英国,415,2013
技術,韓国,5207,2013
技術,中国,20588,2013
技術,米国,834,2013
技能,インド,3762,2013
技能,インドネシア,166,2013
技能,オーストラリア,119,2013
技能,カナダ,31,2013
技能,スリランカ,149,2013
技能,タイ,1066,2013
技能,ネパール,6775,2013
技能,パキスタン,164,2013
技能,バングラデシュ,243,2013
技能,フィリピン,350,2013
技能,ブラジル,38,2013
技能,フランス,64,2013
技能,ベトナム,182,2013
技能,ペルー,24,2013
技能,マレーシア,34,2013
技能,ロシア,33,2013
技能,英国,67,2013
技能,韓国,1253,2013
技能,中国,18139,2013
技能,米国,124,2013
教育,インド,33,2013
教育,インドネシア,5,2013
教育,オーストラリア,712,2013
教育,カナダ,979,2013
教育,スリランカ,10,2013
教育,タイ,3,2013
教育,ネパール,12,2013
教育,パキスタン,4,2013
教育,バングラデシュ,7,2013
教育,フィリピン,280,2013
教育,ブラジル,12,2013
教育,フランス,58,2013
教育,ベトナム,1,2013
教育,ペルー,8,2013
教育,マレーシア,3,2013
教育,ロシア,14,2013
教育,英国,1252,2013
教育,韓国,91,2013
教育,中国,83,2013
教育,米国,5245,2013
教授,インド,352,2013
教授,インドネシア,128,2013
教授,オーストラリア,200,2013
教授,カナダ,222,2013
教授,スリランカ,40,2013
教授,タイ,118,2013
教授,ネパール,58,2013
教授,パキスタン,27,2013
教授,バングラデシュ,178,2013
教授,フィリピン,90,2013
教授,ブラジル,33,2013
教授,フランス,248,2013
教授,ベトナム,150,2013
教授,ペルー,16,2013
教授,マレーシア,42,2013
教授,ロシア,113,2013
教授,英国,415,2013
教授,韓国,924,2013
教授,中国,1963,2013
教授,米国,976,2013
興行,インド,1,2013
興行,インドネシア,0,2013
興行,オーストラリア,58,2013
興行,カナダ,26,2013
興行,スリランカ,0,2013
興行,タイ,72,2013
興行,ネパール,0,2013
興行,パキスタン,1,2013
興行,バングラデシュ,0,2013
興行,フィリピン,367,2013
興行,ブラジル,102,2013
興行,フランス,13,2013
興行,ベトナム,4,2013
興行,ペルー,8,2013
興行,マレーシア,5,2013
興行,ロシア,19,2013
興行,英国,28,2013
興行,韓国,283,2013
興行,中国,147,2013
興行,米国,278,2013
芸術,インド,0,2013
芸術,インドネシア,0,2013
芸術,オーストラリア,10,2013
芸術,カナダ,7,2013
芸術,スリランカ,0,2013
芸術,タイ,2,2013
芸術,ネパール,0,2013
芸術,パキスタン,0,2013
芸術,バングラデシュ,2,2013
芸術,フィリピン,0,2013
芸術,ブラジル,11,2013
芸術,フランス,16,2013
芸術,ベトナム,1,2013
芸術,ペルー,0,2013
芸術,マレーシア,0,2013
芸術,ロシア,21,2013
芸術,英国,10,2013
芸術,韓国,45,2013
芸術,中国,79,2013
芸術,米国,65,2013
研究,インド,146,2013
研究,インドネシア,29,2013
研究,オーストラリア,25,2013
研究,カナダ,29,2013
研究,スリランカ,9,2013
研究,タイ,33,2013
研究,ネパール,16,2013
研究,パキスタン,12,2013
研究,バングラデシュ,41,2013
研究,フィリピン,33,2013
研究,ブラジル,11,2013
研究,フランス,100,2013
研究,ベトナム,39,2013
研究,ペルー,3,2013
研究,マレーシア,24,2013
研究,ロシア,30,2013
研究,英国,44,2013
研究,韓国,194,2013
研究,中国,608,2013
研究,米国,83,2013
研修・技能実習,インド,122,2013
研修・技能実習,インドネシア,10242,2013
研修・技能実習,オーストラリア,3,2013
研修・技能実習,カナダ,0,2013
研修・技能実習,スリランカ,190,2013
研修・技能実習,タイ,4165,2013
研修・技能実習,ネパール,426,2013
研修・技能実習,パキスタン,9,2013
研修・技能実習,バングラデシュ,66,2013
研修・技能実習,フィリピン,10158,2013
研修・技能実習,ブラジル,34,2013
研修・技能実習,フランス,0,2013
研修・技能実習,ベトナム,21828,2013
研修・技能実習,ペルー,29,2013
研修・技能実習,マレーシア,94,2013
研修・技能実習,ロシア,4,2013
研修・技能実習,英国,1,2013
研修・技能実習,韓国,78,2013
研修・技能実習,中国,107510,2013
研修・技能実習,米国,7,2013
宗教,インド,64,2013
宗教,インドネシア,52,2013
宗教,オーストラリア,97,2013
宗教,カナダ,120,2013
宗教,スリランカ,34,2013
宗教,タイ,114,2013
宗教,ネパール,0,2013
宗教,パキスタン,14,2013
宗教,バングラデシュ,5,2013
宗教,フィリピン,226,2013
宗教,ブラジル,111,2013
宗教,フランス,28,2013
宗教,ベトナム,177,2013
宗教,ペルー,9,2013
宗教,マレーシア,6,2013
宗教,ロシア,3,2013
宗教,英国,61,2013
宗教,韓国,896,2013
宗教,中国,70,2013
宗教,米国,1855,2013
人文知識・国際業務,インド,788,2013
人文知識・国際業務,インドネシア,379,2013
人文知識・国際業務,オーストラリア,1293,2013
人文知識・国際業務,カナダ,1449,2013
人文知識・国際業務,スリランカ,1157,2013
人文知識・国際業務,タイ,607,2013
人文知識・国際業務,ネパール,841,2013
人文知識・国際業務,パキスタン,1289,2013
人文知識・国際業務,バングラデシュ,603,2013
人文知識・国際業務,フィリピン,1051,2013
人文知識・国際業務,ブラジル,82,2013
人文知識・国際業務,フランス,1044,2013
人文知識・国際業務,ベトナム,1082,2013
人文知識・国際業務,ペルー,10,2013
人文知識・国際業務,マレーシア,378,2013
人文知識・国際業務,ロシア,621,2013
人文知識・国際業務,英国,2525,2013
人文知識・国際業務,韓国,10100,2013
人文知識・国際業務,中国,33323,2013
人文知識・国際業務,米国,6356,2013
投資・経営,インド,301,2013
投資・経営,インドネシア,22,2013
投資・経営,オーストラリア,186,2013
投資・経営,カナダ,118,2013
投資・経営,スリランカ,339,2013
投資・経営,タイ,109,2013
投資・経営,ネパール,585,2013
投資・経営,パキスタン,759,2013
投資・経営,バングラデシュ,191,2013
投資・経営,フィリピン,39,2013
投資・経営,ブラジル,16,2013
投資・経営,フランス,223,2013
投資・経営,ベトナム,28,2013
投資・経営,ペルー,4,2013
投資・経営,マレーシア,53,2013
投資・経営,ロシア,144,2013
投資・経営,英国,226,2013
投資・経営,韓国,2918,2013
投資・経営,中国,5057,2013
投資・経営,米国,654,2013
特定活動,インド,422,2013
特定活動,インドネシア,806,2013
特定活動,オーストラリア,746,2013
特定活動,カナダ,269,2013
特定活動,スリランカ,457,2013
特定活動,タイ,85,2013
特定活動,ネパール,914,2013
特定活動,パキスタン,497,2013
特定活動,バングラデシュ,348,2013
特定活動,フィリピン,1847,2013
特定活動,ブラジル,52,2013
特定活動,フランス,620,2013
特定活動,ベトナム,78,2013
特定活動,ペルー,44,2013
特定活動,マレーシア,34,2013
特定活動,ロシア,107,2013
特定活動,英国,572,2013
特定活動,韓国,4670,2013
特定活動,中国,4033,2013
特定活動,米国,231,2013
文化活動,インド,29,2013
文化活動,インドネシア,56,2013
文化活動,オーストラリア,21,2013
文化活動,カナダ,20,2013
文化活動,スリランカ,13,2013
文化活動,タイ,76,2013
文化活動,ネパール,14,2013
文化活動,パキスタン,7,2013
文化活動,バングラデシュ,35,2013
文化活動,フィリピン,22,2013
文化活動,ブラジル,26,2013
文化活動,フランス,74,2013
文化活動,ベトナム,39,2013
文化活動,ペルー,7,2013
文化活動,マレーシア,36,2013
文化活動,ロシア,29,2013
文化活動,英国,36,2013
文化活動,韓国,275,2013
文化活動,中国,689,2013
文化活動,米国,175,2013
報道,インド,1,2013
報道,インドネシア,0,2013
報道,オーストラリア,3,2013
報道,カナダ,9,2013
報道,スリランカ,0,2013
報道,タイ,0,2013
報道,ネパール,0,2013
報道,パキスタン,0,2013
報道,バングラデシュ,0,2013
報道,フィリピン,0,2013
報道,ブラジル,5,2013
報道,フランス,15,2013
報道,ベトナム,9,2013
報道,ペルー,0,2013
報道,マレーシア,0,2013
報道,ロシア,9,2013
報道,英国,12,2013
報道,韓国,46,2013
報道,中国,37,2013
報道,米国,21,2013
法律・会計業務,インド,1,2013
法律・会計業務,インドネシア,0,2013
法律・会計業務,オーストラリア,12,2013
法律・会計業務,カナダ,8,2013
法律・会計業務,スリランカ,0,2013
法律・会計業務,タイ,0,2013
法律・会計業務,ネパール,0,2013
法律・会計業務,パキスタン,0,2013
法律・会計業務,バングラデシュ,0,2013
法律・会計業務,フィリピン,2,2013
法律・会計業務,ブラジル,0,2013
法律・会計業務,フランス,3,2013
法律・会計業務,ベトナム,0,2013
法律・会計業務,ペルー,0,2013
法律・会計業務,マレーシア,0,2013
法律・会計業務,ロシア,0,2013
法律・会計業務,英国,30,2013
法律・会計業務,韓国,7,2013
法律・会計業務,中国,6,2013
法律・会計業務,米国,69,2013
留学,インド,771,2013
留学,インドネシア,3219,2013
留学,オーストラリア,391,2013
留学,カナダ,351,2013
留学,スリランカ,1252,2013
留学,タイ,3411,2013
留学,ネパール,8892,2013
留学,パキスタン,233,2013
留学,バングラデシュ,978,2013
留学,フィリピン,780,2013
留学,ブラジル,396,2013
留学,フランス,993,2013
留学,ベトナム,21231,2013
留学,ペルー,90,2013
留学,マレーシア,2478,2013
留学,ロシア,609,2013
留学,英国,530,2013
留学,韓国,17189,2013
留学,中国,107435,2013
留学,米国,2460,2013
医療,インド,0,2012
医療,インドネシア,3,2012
医療,オーストラリア,1,2012
医療,カナダ,2,2012
医療,スリランカ,1,2012
医療,タイ,4,2012
医療,ネパール,3,2012
医療,パキスタン,0,2012
医療,バングラデシュ,0,2012
医療,フィリピン,0,2012
医療,ブラジル,0,2012
医療,フランス,0,2012
医療,ベトナム,23,2012
医療,ペルー,1,2012
医療,マレーシア,5,2012
医療,ロシア,1,2012
医療,英国,0,2012
医療,韓国,39,2012
医療,中国,310,2012
医療,米国,5,2012
技術,インド,3388,2012
技術,インドネシア,662,2012
技術,オーストラリア,253,2012
技術,カナダ,226,2012
技術,スリランカ,430,2012
技術,タイ,331,2012
技術,ネパール,335,2012
技術,パキスタン,61,2012
技術,バングラデシュ,515,2012
技術,フィリピン,1934,2012
技術,ブラジル,47,2012
技術,フランス,589,2012
技術,ベトナム,2985,2012
技術,ペルー,12,2012
技術,マレーシア,669,2012
技術,ロシア,74,2012
技術,英国,414,2012
技術,韓国,5367,2012
技術,中国,20924,2012
技術,米国,786,2012
技能,インド,3798,2012
技能,インドネシア,177,2012
技能,オーストラリア,108,2012
技能,カナダ,35,2012
技能,スリランカ,157,2012
技能,タイ,1032,2012
技能,ネパール,6209,2012
技能,パキスタン,166,2012
技能,バングラデシュ,279,2012
技能,フィリピン,330,2012
技能,ブラジル,41,2012
技能,フランス,58,2012
技能,ベトナム,179,2012
技能,ペルー,23,2012
技能,マレーシア,40,2012
技能,ロシア,44,2012
技能,英国,58,2012
技能,韓国,1394,2012
技能,中国,19023,2012
技能,米国,107,2012
教育,インド,34,2012
教育,インドネシア,5,2012
教育,オーストラリア,703,2012
教育,カナダ,985,2012
教育,スリランカ,9,2012
教育,タイ,3,2012
教育,ネパール,12,2012
教育,パキスタン,4,2012
教育,バングラデシュ,8,2012
教育,フィリピン,256,2012
教育,ブラジル,15,2012
教育,フランス,62,2012
教育,ベトナム,1,2012
教育,ペルー,8,2012
教育,マレーシア,4,2012
教育,ロシア,15,2012
教育,英国,1297,2012
教育,韓国,93,2012
教育,中国,84,2012
教育,米国,5250,2012
教授,インド,336,2012
教授,インドネシア,122,2012
教授,オーストラリア,205,2012
教授,カナダ,243,2012
教授,スリランカ,38,2012
教授,タイ,116,2012
教授,ネパール,57,2012
教授,パキスタン,29,2012
教授,バングラデシュ,195,2012
教授,フィリピン,92,2012
教授,ブラジル,28,2012
教授,フランス,228,2012
教授,ベトナム,147,2012
教授,ペルー,15,2012
教授,マレーシア,53,2012
教授,ロシア,120,2012
教授,英国,452,2012
教授,韓国,943,2012
教授,中国,2085,2012
教授,米国,994,2012
興行,インド,1,2012
興行,インドネシア,3,2012
興行,オーストラリア,58,2012
興行,カナダ,21,2012
興行,スリランカ,0,2012
興行,タイ,72,2012
興行,ネパール,0,2012
興行,パキスタン,1,2012
興行,バングラデシュ,0,2012
興行,フィリピン,344,2012
興行,ブラジル,105,2012
興行,フランス,5,2012
興行,ベトナム,3,2012
興行,ペルー,1,2012
興行,マレーシア,1,2012
興行,ロシア,13,2012
興行,英国,29,2012
興行,韓国,305,2012
興行,中国,177,2012
興行,米国,288,2012
芸術,インド,0,2012
芸術,インドネシア,0,2012
芸術,オーストラリア,5,2012
芸術,カナダ,7,2012
芸術,スリランカ,0,2012
芸術,タイ,3,2012
芸術,ネパール,0,2012
芸術,パキスタン,0,2012
芸術,バングラデシュ,2,2012
芸術,フィリピン,0,2012
芸術,ブラジル,10,2012
芸術,フランス,17,2012
芸術,ベトナム,0,2012
芸術,ペルー,0,2012
芸術,マレーシア,0,2012
芸術,ロシア,36,2012
芸術,英国,11,2012
芸術,韓国,42,2012
芸術,中国,85,2012
芸術,米国,68,2012
研究,インド,137,2012
研究,インドネシア,31,2012
研究,オーストラリア,26,2012
研究,カナダ,18,2012
研究,スリランカ,7,2012
研究,タイ,38,2012
研究,ネパール,23,2012
研究,パキスタン,12,2012
研究,バングラデシュ,43,2012
研究,フィリピン,34,2012
研究,ブラジル,11,2012
研究,フランス,93,2012
研究,ベトナム,35,2012
研究,ペルー,3,2012
研究,マレーシア,25,2012
研究,ロシア,41,2012
研究,英国,53,2012
研究,韓国,196,2012
研究,中国,664,2012
研究,米国,89,2012
研修・技能実習,インド,135,2012
研修・技能実習,インドネシア,9239,2012
研修・技能実習,オーストラリア,1,2012
研修・技能実習,カナダ,1,2012
研修・技能実習,スリランカ,179,2012
研修・技能実習,タイ,3754,2012
研修・技能実習,ネパール,317,2012
研修・技能実習,パキスタン,11,2012
研修・技能実習,バングラデシュ,46,2012
研修・技能実習,フィリピン,8979,2012
研修・技能実習,ブラジル,35,2012
研修・技能実習,フランス,0,2012
研修・技能実習,ベトナム,16948,2012
研修・技能実習,ペルー,34,2012
研修・技能実習,マレーシア,91,2012
研修・技能実習,ロシア,4,2012
研修・技能実習,英国,1,2012
研修・技能実習,韓国,93,2012
研修・技能実習,中国,111839,2012
研修・技能実習,米国,25,2012
宗教,インド,64,2012
宗教,インドネシア,52,2012
宗教,オーストラリア,78,2012
宗教,カナダ,124,2012
宗教,スリランカ,32,2012
宗教,タイ,94,2012
宗教,ネパール,0,2012
宗教,パキスタン,13,2012
宗教,バングラデシュ,4,2012
宗教,フィリピン,215,2012
宗教,ブラジル,97,2012
宗教,フランス,25,2012
宗教,ベトナム,166,2012
宗教,ペルー,8,2012
宗教,マレーシア,4,2012
宗教,ロシア,4,2012
宗教,英国,62,2012
宗教,韓国,945,2012
宗教,中国,85,2012
宗教,米国,1351,2012
人文知識・国際業務,インド,756,2012
人文知識・国際業務,インドネシア,327,2012
人文知識・国際業務,オーストラリア,1371,2012
人文知識・国際業務,カナダ,1541,2012
人文知識・国際業務,スリランカ,1079,2012
人文知識・国際業務,タイ,544,2012
人文知識・国際業務,ネパール,645,2012
人文知識・国際業務,パキスタン,1251,2012
人文知識・国際業務,バングラデシュ,605,2012
人文知識・国際業務,フィリピン,964,2012
人文知識・国際業務,ブラジル,78,2012
人文知識・国際業務,フランス,974,2012
人文知識・国際業務,ベトナム,807,2012
人文知識・国際業務,ペルー,10,2012
人文知識・国際業務,マレーシア,355,2012
人文知識・国際業務,ロシア,598,2012
人文知識・国際業務,英国,2469,2012
人文知識・国際業務,韓国,9755,2012
人文知識・国際業務,中国,33537,2012
人文知識・国際業務,米国,6157,2012
投資・経営,インド,307,2012
投資・経営,インドネシア,23,2012
投資・経営,オーストラリア,192,2012
投資・経営,カナダ,120,2012
投資・経営,スリランカ,326,2012
投資・経営,タイ,108,2012
投資・経営,ネパール,513,2012
投資・経営,パキスタン,732,2012
投資・経営,バングラデシュ,181,2012
投資・経営,フィリピン,38,2012
投資・経営,ブラジル,19,2012
投資・経営,フランス,229,2012
投資・経営,ベトナム,23,2012
投資・経営,ペルー,5,2012
投資・経営,マレーシア,59,2012
投資・経営,ロシア,141,2012
投資・経営,英国,244,2012
投資・経営,韓国,2941,2012
投資・経営,中国,4423,2012
投資・経営,米国,687,2012
特定活動,インド,288,2012
特定活動,インドネシア,746,2012
特定活動,オーストラリア,659,2012
特定活動,カナダ,233,2012
特定活動,スリランカ,332,2012
特定活動,タイ,193,2012
特定活動,ネパール,590,2012
特定活動,パキスタン,364,2012
特定活動,バングラデシュ,274,2012
特定活動,フィリピン,1863,2012
特定活動,ブラジル,50,2012
特定活動,フランス,519,2012
特定活動,ベトナム,63,2012
特定活動,ペルー,42,2012
特定活動,マレーシア,39,2012
特定活動,ロシア,74,2012
特定活動,英国,465,2012
特定活動,韓国,5027,2012
特定活動,中国,3143,2012
特定活動,米国,165,2012
文化活動,インド,35,2012
文化活動,インドネシア,46,2012
文化活動,オーストラリア,23,2012
文化活動,カナダ,21,2012
文化活動,スリランカ,11,2012
文化活動,タイ,79,2012
文化活動,ネパール,10,2012
文化活動,パキスタン,4,2012
文化活動,バングラデシュ,44,2012
文化活動,フィリピン,20,2012
